입대년도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2005,0,0,13.7,6.1,5.6,5.2,5.3,5.2,4.6,4.1,3.9,3.9
2006,4.1,5.9,3.8,3.5,3.4,3.4,3.6,3.6,3.5,3.5,3.4,3.5
2007,7.5,7.8,6.4,5.6,5.4,5.1,5.5,5.5,4.8,4.4,4.3,5.4
2008,7.3,7.8,7.6,6.6,5.7,5.1,5.7,5.5,5.6,5.1,5.1,4.7
2009,5.2,5.3,5.4,5.3,4.3,4.2,4.3,4.3,4.4,4.2,4,4.1
2010,6.6,6.8,6.9,6.5,5.3,4.6,4.8,4.8,4.8,4.6,4.1,4.1
2011,8.9,9,9.1,8.7,7.3,6.5,6.7,6.7,6.9,6.4,6.1,6.1
2012,9.1,9.2,9.4,9,7.6,6.8,6.9,7.1,7.3,6.9,6.3,6.4
2013,9.4,9.4,9.5,8.6,7.4,6.5,6.8,7.1,7.5,7,6.3,6.3
2014,8.3,8.4,8.5,8,6.6,5.6,5.9,6.1,6.4,5.9,5.2,5.2
2015,8.1,8.1,8.4,8.3,8,7.4,7.4,7.3,7.3,7,6.6,6.5
2016,10.1,10.7,10.4,9.8,8.1,6.9,7,7.3,8,7.3,6.8,6.8
2017,9.2,10.2,13.6,0,10.2,7.5,7.4,7.4,7.4,7,6.1,6
2018,8.1,8.4,8.5,8.1,6.9,6.3,6.6,6.8,7.2,7,6.1,6.1
2019,7.6,7.6,7.7,7.6,7.2,6.7,6.8,6.6,6.5,6.3,6.2,6.2
2020,0,19.2,14.9,13,11.4,10,9.9,9.4,8.8,8.2,7.9,7.9
2021,11.2,10.7,9.6,8.8,8.1,7.9,8.8,0,8.2,7.6,7.4,7.4
2022,0,11.2,9.6,8.8,7.9,7.1,6.9,6.7,6.5,6.4,6.4,6.4
2023,7.9,8.1,0,8.1,7.6,7.2,7.2,7.2,7.1,6.8,6.8,6.8
